12.8403 	EXP 	Created text_pause = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pause', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.8406 	EXP 	window1: mouseVisible = False
12.8577 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Run Finished', units='height', win=Window(...), wrapWidth=1)
12.8579 	EXP 	window1: mouseVisible = False
12.8655 	EXP 	Created text_post_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='End\n', units='height', win=Window(...), wrapWidth=1)
0.0291 	EXP 	text_pre_run: autoDraw = True
7.1975 	DATA 	Keypress: lalt
40.7418 	DATA 	Mouse: Left button down, pos=(305,515)
40.8568 	DATA 	Mouse:  Left button up, pos=(305,515)
43.6584 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
43.6589 	EXP 	New trial (rep=0, index=0): None
43.6626 	DATA 	Keypress: space
43.6725 	EXP 	text_pre_run: autoDraw = False
43.6725 	EXP 	text_2: autoDraw = True
46.6740 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
46.6747 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
46.6751 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
46.6922 	EXP 	text_2: autoDraw = False
46.6922 	EXP 	hor_line_precue: autoDraw = True
46.6922 	EXP 	ver_line_precue: autoDraw = True
48.7109 	EXP 	hor_line_precue: autoDraw = False
48.7109 	EXP 	ver_line_precue: autoDraw = False
48.7109 	EXP 	hor_line_precue: autoDraw = False
48.7109 	EXP 	ver_line_precue: autoDraw = False
48.7109 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
48.7109 	EXP 	image_mi: autoDraw = True
53.2153 	EXP 	image_mi: autoDraw = False
53.2153 	EXP 	image_mi: autoDraw = False
53.2153 	EXP 	text_pause: autoDraw = True
55.7027 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
55.7178 	EXP 	text_pause: autoDraw = False
55.7178 	EXP 	text_pause: autoDraw = False
55.7178 	EXP 	hor_line_precue: autoDraw = True
55.7178 	EXP 	ver_line_precue: autoDraw = True
57.7198 	EXP 	hor_line_precue: autoDraw = False
57.7198 	EXP 	ver_line_precue: autoDraw = False
57.7198 	EXP 	hor_line_precue: autoDraw = False
57.7198 	EXP 	ver_line_precue: autoDraw = False
57.7198 	EXP 	image_mi: image = 'pics/left_hand.JPG'
57.7198 	EXP 	image_mi: autoDraw = True
62.2243 	EXP 	image_mi: autoDraw = False
62.2243 	EXP 	image_mi: autoDraw = False
62.2243 	EXP 	text_pause: autoDraw = True
64.7117 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
64.7268 	EXP 	text_pause: autoDraw = False
64.7268 	EXP 	text_pause: autoDraw = False
64.7268 	EXP 	hor_line_precue: autoDraw = True
64.7268 	EXP 	ver_line_precue: autoDraw = True
66.7287 	EXP 	hor_line_precue: autoDraw = False
66.7287 	EXP 	ver_line_precue: autoDraw = False
66.7287 	EXP 	hor_line_precue: autoDraw = False
66.7287 	EXP 	ver_line_precue: autoDraw = False
66.7287 	EXP 	image_mi: image = 'pics/right_foot.JPG'
66.7287 	EXP 	image_mi: autoDraw = True
71.2332 	EXP 	image_mi: autoDraw = False
71.2332 	EXP 	image_mi: autoDraw = False
71.2332 	EXP 	text_pause: autoDraw = True
73.7206 	EXP 	New trial (rep=0, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
73.7359 	EXP 	text_pause: autoDraw = False
73.7359 	EXP 	text_pause: autoDraw = False
73.7359 	EXP 	hor_line_precue: autoDraw = True
73.7359 	EXP 	ver_line_precue: autoDraw = True
75.7377 	EXP 	hor_line_precue: autoDraw = False
75.7377 	EXP 	ver_line_precue: autoDraw = False
75.7377 	EXP 	hor_line_precue: autoDraw = False
75.7377 	EXP 	ver_line_precue: autoDraw = False
75.7377 	EXP 	image_mi: image = 'pics/left_foot.JPG'
75.7377 	EXP 	image_mi: autoDraw = True
80.2422 	EXP 	image_mi: autoDraw = False
80.2422 	EXP 	image_mi: autoDraw = False
80.2422 	EXP 	text_pause: autoDraw = True
82.7296 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
82.7447 	EXP 	text_pause: autoDraw = False
82.7447 	EXP 	text_pause: autoDraw = False
82.7447 	EXP 	hor_line_precue: autoDraw = True
82.7447 	EXP 	ver_line_precue: autoDraw = True
84.7465 	EXP 	hor_line_precue: autoDraw = False
84.7465 	EXP 	ver_line_precue: autoDraw = False
84.7465 	EXP 	hor_line_precue: autoDraw = False
84.7465 	EXP 	ver_line_precue: autoDraw = False
84.7465 	EXP 	image_mi: image = 'pics/left_hand.JPG'
84.7465 	EXP 	image_mi: autoDraw = True
89.2511 	EXP 	image_mi: autoDraw = False
89.2511 	EXP 	image_mi: autoDraw = False
89.2511 	EXP 	text_pause: autoDraw = True
91.7386 	EXP 	New trial (rep=1, index=1): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
91.7537 	EXP 	text_pause: autoDraw = False
91.7537 	EXP 	text_pause: autoDraw = False
91.7537 	EXP 	hor_line_precue: autoDraw = True
91.7537 	EXP 	ver_line_precue: autoDraw = True
93.7556 	EXP 	hor_line_precue: autoDraw = False
93.7556 	EXP 	ver_line_precue: autoDraw = False
93.7556 	EXP 	hor_line_precue: autoDraw = False
93.7556 	EXP 	ver_line_precue: autoDraw = False
93.7556 	EXP 	image_mi: image = 'pics/left_foot.JPG'
93.7556 	EXP 	image_mi: autoDraw = True
98.2601 	EXP 	image_mi: autoDraw = False
98.2601 	EXP 	image_mi: autoDraw = False
98.2601 	EXP 	text_pause: autoDraw = True
100.7476 	EXP 	New trial (rep=1, index=2): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
100.7625 	EXP 	text_pause: autoDraw = False
100.7625 	EXP 	text_pause: autoDraw = False
100.7625 	EXP 	hor_line_precue: autoDraw = True
100.7625 	EXP 	ver_line_precue: autoDraw = True
102.7812 	EXP 	hor_line_precue: autoDraw = False
102.7812 	EXP 	ver_line_precue: autoDraw = False
102.7812 	EXP 	hor_line_precue: autoDraw = False
102.7812 	EXP 	ver_line_precue: autoDraw = False
102.7812 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
102.7812 	EXP 	image_mi: autoDraw = True
107.2858 	EXP 	image_mi: autoDraw = False
107.2858 	EXP 	image_mi: autoDraw = False
107.2858 	EXP 	text_pause: autoDraw = True
109.7731 	EXP 	New trial (rep=1, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
109.7882 	EXP 	text_pause: autoDraw = False
109.7882 	EXP 	text_pause: autoDraw = False
109.7882 	EXP 	hor_line_precue: autoDraw = True
109.7882 	EXP 	ver_line_precue: autoDraw = True
111.7902 	EXP 	hor_line_precue: autoDraw = False
111.7902 	EXP 	ver_line_precue: autoDraw = False
111.7902 	EXP 	hor_line_precue: autoDraw = False
111.7902 	EXP 	ver_line_precue: autoDraw = False
111.7902 	EXP 	image_mi: image = 'pics/left_foot.JPG'
111.7902 	EXP 	image_mi: autoDraw = True
116.2947 	EXP 	image_mi: autoDraw = False
116.2947 	EXP 	image_mi: autoDraw = False
116.2947 	EXP 	text_pause: autoDraw = True
118.7820 	EXP 	New trial (rep=2, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
118.7972 	EXP 	text_pause: autoDraw = False
118.7972 	EXP 	text_pause: autoDraw = False
118.7972 	EXP 	hor_line_precue: autoDraw = True
118.7972 	EXP 	ver_line_precue: autoDraw = True
120.8158 	EXP 	hor_line_precue: autoDraw = False
120.8158 	EXP 	ver_line_precue: autoDraw = False
120.8158 	EXP 	hor_line_precue: autoDraw = False
120.8158 	EXP 	ver_line_precue: autoDraw = False
120.8158 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
120.8158 	EXP 	image_mi: autoDraw = True
125.3203 	EXP 	image_mi: autoDraw = False
125.3203 	EXP 	image_mi: autoDraw = False
125.3203 	EXP 	text_pause: autoDraw = True
127.8076 	EXP 	New trial (rep=2, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
127.8228 	EXP 	text_pause: autoDraw = False
127.8228 	EXP 	text_pause: autoDraw = False
127.8228 	EXP 	hor_line_precue: autoDraw = True
127.8228 	EXP 	ver_line_precue: autoDraw = True
129.8248 	EXP 	hor_line_precue: autoDraw = False
129.8248 	EXP 	ver_line_precue: autoDraw = False
129.8248 	EXP 	hor_line_precue: autoDraw = False
129.8248 	EXP 	ver_line_precue: autoDraw = False
129.8248 	EXP 	image_mi: image = 'pics/left_hand.JPG'
129.8248 	EXP 	image_mi: autoDraw = True
134.3292 	EXP 	image_mi: autoDraw = False
134.3292 	EXP 	image_mi: autoDraw = False
134.3292 	EXP 	text_pause: autoDraw = True
136.8166 	EXP 	New trial (rep=2, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
136.8318 	EXP 	text_pause: autoDraw = False
136.8318 	EXP 	text_pause: autoDraw = False
136.8318 	EXP 	hor_line_precue: autoDraw = True
136.8318 	EXP 	ver_line_precue: autoDraw = True
138.8338 	EXP 	hor_line_precue: autoDraw = False
138.8338 	EXP 	ver_line_precue: autoDraw = False
138.8338 	EXP 	hor_line_precue: autoDraw = False
138.8338 	EXP 	ver_line_precue: autoDraw = False
138.8338 	EXP 	image_mi: image = 'pics/left_foot.JPG'
138.8338 	EXP 	image_mi: autoDraw = True
143.3382 	EXP 	image_mi: autoDraw = False
143.3382 	EXP 	image_mi: autoDraw = False
143.3382 	EXP 	text_pause: autoDraw = True
145.8257 	EXP 	New trial (rep=2, index=3): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
145.8408 	EXP 	text_pause: autoDraw = False
145.8408 	EXP 	text_pause: autoDraw = False
145.8408 	EXP 	hor_line_precue: autoDraw = True
145.8408 	EXP 	ver_line_precue: autoDraw = True
147.8595 	EXP 	hor_line_precue: autoDraw = False
147.8595 	EXP 	ver_line_precue: autoDraw = False
147.8595 	EXP 	hor_line_precue: autoDraw = False
147.8595 	EXP 	ver_line_precue: autoDraw = False
147.8595 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
147.8595 	EXP 	image_mi: autoDraw = True
152.3639 	EXP 	image_mi: autoDraw = False
152.3639 	EXP 	image_mi: autoDraw = False
152.3639 	EXP 	text_pause: autoDraw = True
154.8511 	EXP 	New trial (rep=3, index=0): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
154.8664 	EXP 	text_pause: autoDraw = False
154.8664 	EXP 	text_pause: autoDraw = False
154.8664 	EXP 	hor_line_precue: autoDraw = True
154.8664 	EXP 	ver_line_precue: autoDraw = True
156.8683 	EXP 	hor_line_precue: autoDraw = False
156.8683 	EXP 	ver_line_precue: autoDraw = False
156.8683 	EXP 	hor_line_precue: autoDraw = False
156.8683 	EXP 	ver_line_precue: autoDraw = False
156.8683 	EXP 	image_mi: image = 'pics/right_foot.JPG'
156.8683 	EXP 	image_mi: autoDraw = True
161.3728 	EXP 	image_mi: autoDraw = False
161.3728 	EXP 	image_mi: autoDraw = False
161.3728 	EXP 	text_pause: autoDraw = True
163.8602 	EXP 	New trial (rep=3, index=1): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
163.8753 	EXP 	text_pause: autoDraw = False
163.8753 	EXP 	text_pause: autoDraw = False
163.8753 	EXP 	hor_line_precue: autoDraw = True
163.8753 	EXP 	ver_line_precue: autoDraw = True
165.8772 	EXP 	hor_line_precue: autoDraw = False
165.8772 	EXP 	ver_line_precue: autoDraw = False
165.8772 	EXP 	hor_line_precue: autoDraw = False
165.8772 	EXP 	ver_line_precue: autoDraw = False
165.8772 	EXP 	image_mi: image = 'pics/right_foot.JPG'
165.8772 	EXP 	image_mi: autoDraw = True
170.3818 	EXP 	image_mi: autoDraw = False
170.3818 	EXP 	image_mi: autoDraw = False
170.3818 	EXP 	text_pause: autoDraw = True
172.8691 	EXP 	New trial (rep=3, index=2): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
172.8843 	EXP 	text_pause: autoDraw = False
172.8843 	EXP 	text_pause: autoDraw = False
172.8843 	EXP 	hor_line_precue: autoDraw = True
172.8843 	EXP 	ver_line_precue: autoDraw = True
174.8862 	EXP 	hor_line_precue: autoDraw = False
174.8862 	EXP 	ver_line_precue: autoDraw = False
174.8862 	EXP 	hor_line_precue: autoDraw = False
174.8862 	EXP 	ver_line_precue: autoDraw = False
174.8862 	EXP 	image_mi: image = 'pics/left_hand.JPG'
174.8862 	EXP 	image_mi: autoDraw = True
179.3907 	EXP 	image_mi: autoDraw = False
179.3907 	EXP 	image_mi: autoDraw = False
179.3907 	EXP 	text_pause: autoDraw = True
181.8781 	EXP 	New trial (rep=3, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
181.8932 	EXP 	text_pause: autoDraw = False
181.8932 	EXP 	text_pause: autoDraw = False
181.8932 	EXP 	hor_line_precue: autoDraw = True
181.8932 	EXP 	ver_line_precue: autoDraw = True
183.8952 	EXP 	hor_line_precue: autoDraw = False
183.8952 	EXP 	ver_line_precue: autoDraw = False
183.8952 	EXP 	hor_line_precue: autoDraw = False
183.8952 	EXP 	ver_line_precue: autoDraw = False
183.8952 	EXP 	image_mi: image = 'pics/right_foot.JPG'
183.8952 	EXP 	image_mi: autoDraw = True
188.3997 	EXP 	image_mi: autoDraw = False
188.3997 	EXP 	image_mi: autoDraw = False
188.3997 	EXP 	text_pause: autoDraw = True
190.8871 	EXP 	New trial (rep=4, index=0): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
190.9022 	EXP 	text_pause: autoDraw = False
190.9022 	EXP 	text_pause: autoDraw = False
190.9022 	EXP 	hor_line_precue: autoDraw = True
190.9022 	EXP 	ver_line_precue: autoDraw = True
192.9042 	EXP 	hor_line_precue: autoDraw = False
192.9042 	EXP 	ver_line_precue: autoDraw = False
192.9042 	EXP 	hor_line_precue: autoDraw = False
192.9042 	EXP 	ver_line_precue: autoDraw = False
192.9042 	EXP 	image_mi: image = 'pics/right_foot.JPG'
192.9042 	EXP 	image_mi: autoDraw = True
197.4087 	EXP 	image_mi: autoDraw = False
197.4087 	EXP 	image_mi: autoDraw = False
197.4087 	EXP 	text_pause: autoDraw = True
199.8960 	EXP 	New trial (rep=4, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
199.9111 	EXP 	text_pause: autoDraw = False
199.9111 	EXP 	text_pause: autoDraw = False
199.9111 	EXP 	hor_line_precue: autoDraw = True
199.9111 	EXP 	ver_line_precue: autoDraw = True
201.9131 	EXP 	hor_line_precue: autoDraw = False
201.9131 	EXP 	ver_line_precue: autoDraw = False
201.9131 	EXP 	hor_line_precue: autoDraw = False
201.9131 	EXP 	ver_line_precue: autoDraw = False
201.9131 	EXP 	image_mi: image = 'pics/left_hand.JPG'
201.9131 	EXP 	image_mi: autoDraw = True
206.4176 	EXP 	image_mi: autoDraw = False
206.4176 	EXP 	image_mi: autoDraw = False
206.4176 	EXP 	text_pause: autoDraw = True
208.9049 	EXP 	New trial (rep=4, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
208.9201 	EXP 	text_pause: autoDraw = False
208.9201 	EXP 	text_pause: autoDraw = False
