thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.013091400032863021,0.021439800038933754,0.021439800038933754,0.4090277999639511,space,0.38213849999010563,None,,,,,,,,,,322637,001,2026-06-23_13h16.41.340,bci_circle,,2026.1.1,120.30581741963294,2026-06-23 13h16.41.414640 +0200,
0,0,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,0,3.41998310002964,,,,,,,,,,0.4092794000171125,0.41492819995619357,3.41998310002964,3.3990693000378087,3.4055618999991566,3.41998310002964,3.41998310002964,3.41998310002964,10.109676799969748,322637,001,2026-06-23_13h16.41.340,bci_circle,,2026.1.1,120.30581741963294,2026-06-23 13h16.41.414640 +0200,
1,1,0,pics/feet.JPG,feet,0,0,0,0,0,1,1,1,10.142276600003242,,,,,,,,,,,,,,10.12850490002893,10.142276600003242,10.142276600003242,10.142276600003242,16.807673700037412,322637,001,2026-06-23_13h16.41.340,bci_circle,,2026.1.1,120.30581741963294,2026-06-23 13h16.41.414640 +0200,
2,2,0,pics/none.JPG,rest,,,,,0,2,2,2,16.815220599994063,,,,,,,,,,,,,,16.808869599946775,16.815220599994063,16.815220599994063,16.815220599994063,,,,,,,,,,
