thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.014034599997103214,0.021984599996358156,0.021984599996358156,1.233920999977272,space,1.1967420000000857,None,,,,,,,,,427876,001,2026-06-20_17h08.30.893,bci_circle,,2026.1.1,118.77909350462933,2026-06-20 17h08.30.969617 +0200,
0,0,0,pics/right_hand.JPG, right_hand,0,0,0,0,0,0,0,3,4.270815900003072,,,,,,,,,,1.2341965999803506,1.2467595000052825,4.2466265999828465,4.254079799982719,4.270815900003072,4.270815900003072,4.270815900003072,12.434360199957155,427876,001,2026-06-20_17h08.30.893,bci_circle,,2026.1.1,118.77909350462933,2026-06-20 17h08.30.969617 +0200,
1,1,0,pics/none.JPG,rest,0,0,0,0,0,1,1,2,12.444120000000112,,,,,,,,,,,,,12.435726700001396,12.444120000000112,12.444120000000112,12.444120000000112,20.452041999960784,427876,001,2026-06-20_17h08.30.893,bci_circle,,2026.1.1,118.77909350462933,2026-06-20 17h08.30.969617 +0200,
2,2,0,pics/left_hand.JPG,left_hand,,,,,0,2,2,0,20.46080699999584,,,,,,,,,,,,,20.453596399980597,20.46080699999584,20.46080699999584,20.46080699999584,,,,,,,,,,
