thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_left.stopped,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.003235199998016469,0.007357299997238442,0.007357299997238442,1.0261940999989747,space,1.0084897999986424,None,,,,,,,,,,,,,,,163959,001,2026-06-16_16h09.39.988,bci_racingteam,,2026.1.1,118.75680624306726,2026-06-16 16h09.40.127018 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,4.153744099996402,,,,,,,,,,1.0265097000010428,1.0309086999986903,4.153744099996402,4.014822999997705,4.0218722999998135,4.153744099996402,4.153744099996402,4.153744099996402,4.153744099996402,5.147272900001553,6.147004799997376,6.147004799997376,6.147004799997376,6.139432600000873,163959,001,2026-06-16_16h09.39.988,bci_racingteam,,2026.1.1,118.75680624306726,2026-06-16 16h09.40.127018 +0200,
1,1,0,pics/none.JPG,rest,,,,,0,1,1,2,6.147004799997376,,,,,,,,,,,,,,6.139556000001903,6.147004799997376,6.147004799997376,6.147004799997376,6.147004799997376,7.1389830999978585,,,,,,,,,,,,,
