thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,dot_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,dot_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.019115100003546104,0.02497850000509061,0.02497850000509061,0.2975995000015246,space,0.2610276999985217,None,,,,,,,,,,,,,,,,,,,246050,001,2026-06-16_16h30.28.991,bci_racingteam,,2026.1.1,117.25900050504708,2026-06-16 16h30.29.247412 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,3.309777700000268,,,,,,,,,,0.29828500000439817,0.3051368000014918,3.309777700000268,3.28831010000431,3.3001984000002267,3.309777700000268,3.309777700000268,3.309777700000268,3.309777700000268,3.309777700000268,3.309777700000268,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,5.299085200000263,246050,001,2026-06-16_16h30.28.991,bci_racingteam,,2026.1.1,117.25900050504708,2026-06-16 16h30.29.247412 +0200,
1,1,1,pics/feet.JPG,feet,0,0,0,0,1,1,1,1,5.306880900003307,,,,,,,,,,,,,,5.2993757000003825,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,5.306880900003307,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,7.297138800000539,246050,001,2026-06-16_16h30.28.991,bci_racingteam,,2026.1.1,117.25900050504708,2026-06-16 16h30.29.247412 +0200,
2,2,0,pics/left_hand.JPG,left_hand,,,,,0,2,2,0,7.304780300000857,,,,,,,,,,,,,,7.297354800000903,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,7.304780300000857,,,,,,,,,,,,,,,,
