thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0069754000287503,0.014787800027988851,0.014787800027988851,0.25290349998977035,space,0.23266680003143847,None,,,,,,,,,,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
0,0,0,pics/none.JPG,rest,0,0,0,0,0,0,0,2,3.262586100026965,,,,,,,,,,0.2531491999980062,0.25788320001447573,3.262586100026965,3.242187700001523,3.2488247000146657,3.262586100026965,3.262586100026965,3.262586100026965,9.913446700025816,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
1,1,1,pics/none.JPG,rest,0,0,0,0,1,1,1,2,9.920943000004627,,,,,,,,,,,,,,9.91475240001455,9.920943000004627,9.920943000004627,9.920943000004627,16.57196600001771,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
2,2,0,pics/right_hand.JPG, right_hand,0,0,0,0,0,2,2,3,16.57921689999057,,,,,,,,,,,,,,16.573365200019907,16.57921689999057,16.57921689999057,16.57921689999057,23.283473999996204,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
3,3,1,pics/right_hand.JPG, right_hand,0,0,0,0,1,3,3,3,23.291213700023945,,,,,,,,,,,,,,23.28476380003849,23.291213700023945,23.291213700023945,23.291213700023945,29.94210089999251,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
4,4,0,pics/feet.JPG,feet,0,0,0,0,0,4,4,1,29.95102500001667,,,,,,,,,,,,,,29.944467800029088,29.95102500001667,29.95102500001667,29.95102500001667,36.602182500006165,062957,001,2026-06-20_16h49.17.641,bci_circle,,2026.1.1,120.23045770457362,2026-06-20 16h49.17.708135 +0200,
5,5,2,pics/right_hand.JPG, right_hand,,,,,2,5,5,3,36.609728100011125,,,,,,,,,,,,,,36.60354949999601,36.609728100011125,36.609728100011125,36.609728100011125,,,,,,,,,,
