thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.003100599999015685,0.008827400000882335,0.008827400000882335,0.4803591000018059,space,0.4614638000057312,None,,,,,,,,,,,,,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,3.479513099999167,,,,,,,,,,0.4806529999987106,0.4843486000027042,3.479513099999167,3.4674882000035723,3.4746386999977403,3.479513099999167,3.479513099999167,3.479513099999167,5.4754982000013115,5.4754982000013115,5.4754982000013115,5.467644099997415,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
1,1,1,pics/feet.JPG,feet,0,0,0,0,1,1,1,1,5.4754982000013115,,,,,,,,,,,,,,5.467765000001236,5.4754982000013115,5.4754982000013115,5.4754982000013115,7.467186599998968,7.467186599998968,7.467186599998968,7.459646399998746,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
2,2,2,pics/feet.JPG,feet,0,0,0,0,2,2,2,1,7.467186599998968,,,,,,,,,,,,,,7.459788100000878,7.467186599998968,7.467186599998968,7.467186599998968,9.458938199997647,9.458938199997647,9.458938199997647,9.451365499997337,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
3,3,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,3,3,0,9.458938199997647,,,,,,,,,,,,,,9.451541800000996,9.458938199997647,9.458938199997647,9.458938199997647,11.4506063000008,11.4506063000008,11.4506063000008,11.443084999998973,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
4,4,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,4,4,0,11.4506063000008,,,,,,,,,,,,,,11.443227600000682,11.4506063000008,11.4506063000008,11.4506063000008,13.44242839999788,13.44242839999788,13.44242839999788,13.434651000003214,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
5,5,0,pics/none.JPG,rest,0,0,0,0,0,5,5,2,13.44242839999788,,,,,,,,,,,,,,13.43484790000366,13.44242839999788,13.44242839999788,13.44242839999788,15.433900500000163,15.433900500000163,15.433900500000163,15.426494999999704,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
6,6,1,pics/none.JPG,rest,0,0,0,0,1,6,6,2,15.433900500000163,,,,,,,,,,,,,,15.426639199999045,15.433900500000163,15.433900500000163,15.433900500000163,17.426146899997548,17.426146899997548,17.426146899997548,17.418119000001752,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
7,7,2,pics/none.JPG,rest,0,0,0,0,2,7,7,2,17.426146899997548,,,,,,,,,,,,,,17.418263799998385,17.426146899997548,17.426146899997548,17.426146899997548,19.417915999998513,19.417915999998513,19.417915999998513,19.41066460000002,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
8,8,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,8,8,0,19.417915999998513,,,,,,,,,,,,,,19.41081739999936,19.417915999998513,19.417915999998513,19.417915999998513,21.40907039999729,21.40907039999729,21.40907039999729,21.40123670000321,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
9,9,3,pics/none.JPG,rest,0,0,0,0,3,9,9,2,21.40907039999729,,,,,,,,,,,,,,21.401380000002973,21.40907039999729,21.40907039999729,21.40907039999729,23.40117889999965,23.40117889999965,23.40117889999965,23.39371630000096,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
10,10,3,pics/left_hand.JPG,left_hand,0,0,0,0,3,10,10,0,23.40117889999965,,,,,,,,,,,,,,23.39386150000064,23.40117889999965,23.40117889999965,23.40117889999965,25.392467899997428,25.392467899997428,25.392467899997428,25.385146499997063,668179,001,2026-06-16_16h06.26.098,bci_racingteam,,2026.1.1,119.017722924651,2026-06-16 16h06.26.252824 +0200,
