thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,image.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,image.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.013672399996721651,0.017619199999899138,0.017619199999899138,1.0861516000004485,space,1.0620944000038435,None,,,,,,,,,,,,,,,648592,001,2026-06-16_16h48.49.422,bci_racingteam,,2026.1.1,118.588371463645,2026-06-16 16h48.49.546723 +0200,
0,0,0,pics/none.JPG,rest,0,0,0,0,0,0,0,2,4.092933100000664,,,,,,,,,,1.0865069999999832,1.0916426999974647,4.092933100000664,4.082089600000472,4.088814199996705,4.092933100000664,4.092933100000664,4.092933100000664,4.092933100000664,6.089861299995391,6.089861299995391,6.089861299995391,8.590019999996002,8.581947999999102,648592,001,2026-06-16_16h48.49.422,bci_racingteam,,2026.1.1,118.588371463645,2026-06-16 16h48.49.546723 +0200,
1,1,0,pics/feet.JPG,feet,0,0,0,0,0,1,1,1,8.590019999996002,,,,,,,,,,,,,,8.584474899995257,8.590019999996002,8.590019999996002,8.590019999996002,8.590019999996002,10.582228599996597,10.582228599996597,10.582228599996597,13.08152870000049,13.07389559999865,648592,001,2026-06-16_16h48.49.422,bci_racingteam,,2026.1.1,118.588371463645,2026-06-16 16h48.49.546723 +0200,
2,2,1,pics/feet.JPG,feet,,,,,1,2,2,1,13.08152870000049,,,,,,,,,,,,,,13.07604259999789,13.08152870000049,13.08152870000049,13.08152870000049,13.08152870000049,15.07414019999851,15.07414019999851,15.07414019999851,,,,,,,,,,,
