thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,dot_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,dot_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0029972000047564507,0.0077891000037197955,0.0077891000037197955,2.8535052000006544,space,2.8357245000006515,None,,,,,,,,,,,,,,,,,,,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,5.862288700001955,,,,,,,,,,2.8538067000044975,2.8587237000028836,5.862288700001955,5.849220500000229,5.856200900001568,5.862288700001955,5.862288700001955,5.862288700001955,5.862288700001955,5.862288700001955,5.862288700001955,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,7.849367499999062,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
1,1,0,pics/none.JPG,rest,0,0,0,0,0,1,1,2,7.856760100003157,,,,,,,,,,,,,,7.8495010000042384,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,7.856760100003157,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,9.842131400000653,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
2,2,1,pics/feet.JPG,feet,0,0,0,0,1,2,2,1,9.848657100003038,,,,,,,,,,,,,,9.842252200003713,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,9.848657100003038,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,11.832856400003948,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
3,3,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,3,3,0,11.840248400003475,,,,,,,,,,,,,,11.832971200004977,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,11.840248400003475,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,13.824205600001733,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
4,4,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,4,4,0,13.831965000004857,,,,,,,,,,,,,,13.824364200001583,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,13.831965000004857,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,15.816019500001858,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
5,5,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,5,5,0,15.823530000001483,,,,,,,,,,,,,,15.816164800002298,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,15.823530000001483,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,17.807988000000478,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
6,6,2,pics/feet.JPG,feet,0,0,0,0,2,6,6,1,17.815566100005526,,,,,,,,,,,,,,17.808131700003287,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,17.815566100005526,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,19.79939800000284,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
7,7,1,pics/none.JPG,rest,0,0,0,0,1,7,7,2,19.806991800003743,,,,,,,,,,,,,,19.799510600001668,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,19.806991800003743,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,21.791249300003983,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
8,8,2,pics/none.JPG,rest,0,0,0,0,2,8,8,2,21.799346400002833,,,,,,,,,,,,,,21.791386400000192,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,21.799346400002833,23.790532700004405,23.790532700004405,23.790532700004405,23.790532700004405,23.790532700004405,23.790532700004405,23.782574199998635,704214,001,2026-06-16_16h23.58.422,bci_racingteam,,2026.1.1,120.35142616427864,2026-06-16 16h23.58.578240 +0200,
