2.4675 	EXP 	text_wait_screen: autoDraw = True
2.5467 	EXP 	Device response: <KeyPress from None: t=2.4086547999759205, value=space, duration=0.13160010002320632>
5.4861 	EXP 	Imported classes.csv as conditions, 4 conditions, 2 params
5.4867 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'pic_name': 'pics/right_hand.JPG', 'class_mi': ' right_hand', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
5.5133 	EXP 	text_wait_screen: autoDraw = False
5.5133 	EXP 	text_wait_screen: autoDraw = False
5.5133 	EXP 	image_mi: image = 'pics/right_hand.JPG'
5.5133 	EXP 	move_circle: autoDraw = True
5.5133 	EXP 	mi_circle: autoDraw = True
5.5133 	EXP 	image_mi: autoDraw = True
9.9964 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
10.0291 	EXP 	move_circle: autoDraw = False
10.0291 	EXP 	mi_circle: autoDraw = False
10.0291 	EXP 	image_mi: autoDraw = False
10.0291 	EXP 	move_circle: autoDraw = False
10.0291 	EXP 	mi_circle: autoDraw = False
10.0291 	EXP 	image_mi: autoDraw = False
10.0291 	EXP 	image_mi: image = 'pics/left_hand.JPG'
10.0291 	EXP 	move_circle: autoDraw = True
10.0291 	EXP 	mi_circle: autoDraw = True
10.0291 	EXP 	image_mi: autoDraw = True
14.5199 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'pic_name': 'pics/none.JPG', 'class_mi': 'rest', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
14.5417 	EXP 	move_circle: autoDraw = False
14.5417 	EXP 	mi_circle: autoDraw = False
14.5417 	EXP 	image_mi: autoDraw = False
14.5417 	EXP 	move_circle: autoDraw = False
14.5417 	EXP 	mi_circle: autoDraw = False
14.5417 	EXP 	image_mi: autoDraw = False
14.5417 	EXP 	image_mi: image = 'pics/none.JPG'
14.5417 	EXP 	move_circle: autoDraw = True
14.5417 	EXP 	mi_circle: autoDraw = True
14.5417 	EXP 	image_mi: autoDraw = True
19.0305 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'pic_name': 'pics/feet.JPG', 'class_mi': 'feet', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
19.0498 	EXP 	move_circle: autoDraw = False
19.0498 	EXP 	mi_circle: autoDraw = False
19.0498 	EXP 	image_mi: autoDraw = False
19.0498 	EXP 	move_circle: autoDraw = False
19.0498 	EXP 	mi_circle: autoDraw = False
19.0498 	EXP 	image_mi: autoDraw = False
19.0498 	EXP 	image_mi: image = 'pics/feet.JPG'
19.0498 	EXP 	move_circle: autoDraw = True
19.0498 	EXP 	mi_circle: autoDraw = True
19.0498 	EXP 	image_mi: autoDraw = True
23.5378 	EXP 	New trial (rep=1, index=4): <Trial 4 (4 in rep 1) data={'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 1}>
23.5453 	EXP 	move_circle: autoDraw = False
23.5453 	EXP 	mi_circle: autoDraw = False
23.5453 	EXP 	image_mi: autoDraw = False
23.5453 	EXP 	move_circle: autoDraw = False
23.5453 	EXP 	mi_circle: autoDraw = False
23.5453 	EXP 	image_mi: autoDraw = False
23.5453 	EXP 	image_mi: image = 'pics/left_hand.JPG'
23.5453 	EXP 	move_circle: autoDraw = True
23.5453 	EXP 	mi_circle: autoDraw = True
23.5453 	EXP 	image_mi: autoDraw = True
28.0296 	EXP 	New trial (rep=1, index=5): <Trial 5 (5 in rep 1) data={'pic_name': 'pics/feet.JPG', 'class_mi': 'feet', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 1}>
28.0382 	EXP 	move_circle: autoDraw = False
28.0382 	EXP 	mi_circle: autoDraw = False
28.0382 	EXP 	image_mi: autoDraw = False
28.0382 	EXP 	move_circle: autoDraw = False
28.0382 	EXP 	mi_circle: autoDraw = False
28.0382 	EXP 	image_mi: autoDraw = False
28.0382 	EXP 	image_mi: image = 'pics/feet.JPG'
28.0382 	EXP 	move_circle: autoDraw = True
28.0382 	EXP 	mi_circle: autoDraw = True
28.0382 	EXP 	image_mi: autoDraw = True
32.5221 	EXP 	New trial (rep=2, index=6): <Trial 6 (6 in rep 2) data={'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 2}>
32.5297 	EXP 	move_circle: autoDraw = False
32.5297 	EXP 	mi_circle: autoDraw = False
32.5297 	EXP 	image_mi: autoDraw = False
32.5297 	EXP 	move_circle: autoDraw = False
32.5297 	EXP 	mi_circle: autoDraw = False
32.5297 	EXP 	image_mi: autoDraw = False
32.5297 	EXP 	image_mi: image = 'pics/left_hand.JPG'
32.5297 	EXP 	move_circle: autoDraw = True
32.5297 	EXP 	mi_circle: autoDraw = True
32.5297 	EXP 	image_mi: autoDraw = True
37.0138 	EXP 	New trial (rep=2, index=7): <Trial 7 (7 in rep 2) data={'pic_name': 'pics/feet.JPG', 'class_mi': 'feet', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 2}>
37.0215 	EXP 	move_circle: autoDraw = False
37.0215 	EXP 	mi_circle: autoDraw = False
37.0215 	EXP 	image_mi: autoDraw = False
37.0215 	EXP 	move_circle: autoDraw = False
37.0215 	EXP 	mi_circle: autoDraw = False
37.0215 	EXP 	image_mi: autoDraw = False
37.0215 	EXP 	image_mi: image = 'pics/feet.JPG'
37.0215 	EXP 	move_circle: autoDraw = True
37.0215 	EXP 	mi_circle: autoDraw = True
37.0215 	EXP 	image_mi: autoDraw = True
41.5062 	EXP 	New trial (rep=3, index=8): <Trial 8 (8 in rep 3) data={'pic_name': 'pics/feet.JPG', 'class_mi': 'feet', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 3}>
41.5143 	EXP 	move_circle: autoDraw = False
41.5143 	EXP 	mi_circle: autoDraw = False
41.5143 	EXP 	image_mi: autoDraw = False
41.5143 	EXP 	move_circle: autoDraw = False
41.5143 	EXP 	mi_circle: autoDraw = False
41.5143 	EXP 	image_mi: autoDraw = False
41.5143 	EXP 	image_mi: image = 'pics/feet.JPG'
41.5143 	EXP 	move_circle: autoDraw = True
41.5143 	EXP 	mi_circle: autoDraw = True
41.5143 	EXP 	image_mi: autoDraw = True
45.9991 	EXP 	New trial (rep=1, index=9): <Trial 9 (9 in rep 1) data={'pic_name': 'pics/none.JPG', 'class_mi': 'rest', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 1}>
46.0068 	EXP 	move_circle: autoDraw = False
46.0068 	EXP 	mi_circle: autoDraw = False
46.0068 	EXP 	image_mi: autoDraw = False
46.0068 	EXP 	move_circle: autoDraw = False
46.0068 	EXP 	mi_circle: autoDraw = False
46.0068 	EXP 	image_mi: autoDraw = False
46.0068 	EXP 	image_mi: image = 'pics/none.JPG'
46.0068 	EXP 	move_circle: autoDraw = True
46.0068 	EXP 	mi_circle: autoDraw = True
46.0068 	EXP 	image_mi: autoDraw = True
50.4909 	EXP 	New trial (rep=4, index=10): <Trial 10 (10 in rep 4) data={'pic_name': 'pics/feet.JPG', 'class_mi': 'feet', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 4}>
50.4987 	EXP 	move_circle: autoDraw = False
50.4987 	EXP 	mi_circle: autoDraw = False
50.4987 	EXP 	image_mi: autoDraw = False
50.4987 	EXP 	move_circle: autoDraw = False
50.4987 	EXP 	mi_circle: autoDraw = False
50.4987 	EXP 	image_mi: autoDraw = False
50.4987 	EXP 	image_mi: image = 'pics/feet.JPG'
50.4987 	EXP 	move_circle: autoDraw = True
50.4987 	EXP 	mi_circle: autoDraw = True
50.4987 	EXP 	image_mi: autoDraw = True
54.9836 	EXP 	New trial (rep=1, index=11): <Trial 11 (11 in rep 1) data={'pic_name': 'pics/right_hand.JPG', 'class_mi': ' right_hand', 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 1}>
54.9908 	EXP 	move_circle: autoDraw = False
54.9908 	EXP 	mi_circle: autoDraw = False
54.9908 	EXP 	image_mi: autoDraw = False
54.9908 	EXP 	move_circle: autoDraw = False
54.9908 	EXP 	mi_circle: autoDraw = False
54.9908 	EXP 	image_mi: autoDraw = False
54.9908 	EXP 	image_mi: image = 'pics/right_hand.JPG'
54.9908 	EXP 	move_circle: autoDraw = True
54.9908 	EXP 	mi_circle: autoDraw = True
54.9908 	EXP 	image_mi: autoDraw = True
59.4753 	EXP 	New trial (rep=2, index=12): <Trial 12 (12 in rep 2) data={'pic_name': 'pics/none.JPG', 'class_mi': 'rest', 'thisN': 12, 'thisTrialN': 12, 'thisRepN': 2}>
59.4830 	EXP 	move_circle: autoDraw = False
59.4830 	EXP 	mi_circle: autoDraw = False
59.4830 	EXP 	image_mi: autoDraw = False
59.4830 	EXP 	move_circle: autoDraw = False
59.4830 	EXP 	mi_circle: autoDraw = False
59.4830 	EXP 	image_mi: autoDraw = False
59.4830 	EXP 	image_mi: image = 'pics/none.JPG'
59.4830 	EXP 	move_circle: autoDraw = True
59.4830 	EXP 	mi_circle: autoDraw = True
59.4830 	EXP 	image_mi: autoDraw = True
63.9673 	EXP 	New trial (rep=3, index=13): <Trial 13 (13 in rep 3) data={'pic_name': 'pics/none.JPG', 'class_mi': 'rest', 'thisN': 13, 'thisTrialN': 13, 'thisRepN': 3}>
63.9747 	EXP 	move_circle: autoDraw = False
63.9747 	EXP 	mi_circle: autoDraw = False
63.9747 	EXP 	image_mi: autoDraw = False
63.9747 	EXP 	move_circle: autoDraw = False
63.9747 	EXP 	mi_circle: autoDraw = False
63.9747 	EXP 	image_mi: autoDraw = False
63.9747 	EXP 	image_mi: image = 'pics/none.JPG'
63.9747 	EXP 	move_circle: autoDraw = True
63.9747 	EXP 	mi_circle: autoDraw = True
63.9747 	EXP 	image_mi: autoDraw = True
68.4589 	EXP 	New trial (rep=3, index=14): <Trial 14 (14 in rep 3) data={'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand', 'thisN': 14, 'thisTrialN': 14, 'thisRepN': 3}>
68.4669 	EXP 	move_circle: autoDraw = False
68.4669 	EXP 	mi_circle: autoDraw = False
68.4669 	EXP 	image_mi: autoDraw = False
68.4669 	EXP 	move_circle: autoDraw = False
68.4669 	EXP 	mi_circle: autoDraw = False
68.4669 	EXP 	image_mi: autoDraw = False
68.4669 	EXP 	image_mi: image = 'pics/left_hand.JPG'
68.4669 	EXP 	move_circle: autoDraw = True
68.4669 	EXP 	mi_circle: autoDraw = True
68.4669 	EXP 	image_mi: autoDraw = True
72.9508 	EXP 	New trial (rep=4, index=15): <Trial 15 (15 in rep 4) data={'pic_name': 'pics/none.JPG', 'class_mi': 'rest', 'thisN': 15, 'thisTrialN': 15, 'thisRepN': 4}>
72.9586 	EXP 	move_circle: autoDraw = False
72.9586 	EXP 	mi_circle: autoDraw = False
72.9586 	EXP 	image_mi: autoDraw = False
72.9586 	EXP 	move_circle: autoDraw = False
72.9586 	EXP 	mi_circle: autoDraw = False
72.9586 	EXP 	image_mi: autoDraw = False
72.9586 	EXP 	image_mi: image = 'pics/none.JPG'
72.9586 	EXP 	move_circle: autoDraw = True
72.9586 	EXP 	mi_circle: autoDraw = True
72.9586 	EXP 	image_mi: autoDraw = True
