thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0036190000028000213,0.0075087000004714355,0.0075087000004714355,0.28364390000206186,space,0.2617088999977568,None,,,,,,,,,,,,,,,793449,001,2026-06-16_16h13.27.635,bci_racingteam,,2026.1.1,119.59676754162508,2026-06-16 16h13.27.778771 +0200,
0,0,0,pics/none.JPG,rest,0,0,0,0,0,0,0,2,3.2910174000062398,,,,,,,,,,0.2840427000046475,0.2886882000020705,3.2910174000062398,3.277866399999766,3.2859157000057166,3.2910174000062398,3.2910174000062398,3.2910174000062398,3.2910174000062398,5.285341700000572,5.285341700000572,5.285341700000572,5.285341700000572,5.278268300004129,793449,001,2026-06-16_16h13.27.635,bci_racingteam,,2026.1.1,119.59676754162508,2026-06-16 16h13.27.778771 +0200,
1,1,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,1,1,0,5.285341700000572,,,,,,,,,,,,,,5.278426800003217,5.285341700000572,5.285341700000572,5.285341700000572,5.285341700000572,7.277992500006803,7.277992500006803,7.277992500006803,7.277992500006803,7.270012500004668,793449,001,2026-06-16_16h13.27.635,bci_racingteam,,2026.1.1,119.59676754162508,2026-06-16 16h13.27.778771 +0200,
2,2,0,pics/feet.JPG,feet,,,,,0,2,2,1,7.277992500006803,,,,,,,,,,,,,,7.270133700003498,7.277992500006803,7.277992500006803,7.277992500006803,7.277992500006803,,,,,,,,,,,,,,
