thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.012811799999326468,0.02927919998182915,0.02927919998182915,0.35413889997289516,space,0.31811190000735223,None,,,,,,,,647732,001,2026-06-17_16h22.00.367,bci_circle,,2026.1.1,120.84270872948183,2026-06-17 16h22.00.442710 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,3.3568272999837063,,,,,,,,,,0.3544413999770768,0.36214969999855384,3.3568272999837063,3.345804999989923,3.351318299974082,3.3568272999837063,3.3568272999837063,,,,,,,,,
