thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.006237900000996888,0.01927570003317669,0.01927570003317669,1.3992132000275888,space,1.3736375999869779,None,,,,,,,,,971642,001,2026-06-19_09h31.13.231,bci_circle,,2026.1.1,116.38923348874162,2026-06-19 09h31.13.334023 +0200,
0,0,0,pics/none.JPG,rest,0,0,0,0,0,0,0,2,4.422571800008882,,,,,,,,,,1.3995126000372693,1.4047663999954239,4.422571800008882,4.388640300021507,4.4145856000250205,4.422571800008882,4.422571800008882,4.422571800008882,,,,,,,,,
