thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,image.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,image.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.01875799999834271,0.022965099997236393,0.022965099997236393,3.949511699996947,space,3.918022399993788,None,,,,,,,,,,,,,,,327814,001,2026-06-16_16h52.07.656,bci_racingteam,,2026.1.1,120.18147402600425,2026-06-16 16h52.07.784964 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,6.950514800002566,,,,,,,,,,3.9498087000029045,3.9541981000002124,6.950514800002566,6.937634000001708,6.945156000001589,6.950514800002566,6.950514800002566,6.950514800002566,6.950514800002566,8.94542669999646,8.94542669999646,8.94542669999646,11.445128200000909,11.43746700000338,327814,001,2026-06-16_16h52.07.656,bci_racingteam,,2026.1.1,120.18147402600425,2026-06-16 16h52.07.784964 +0200,
1,1,0,pics/none.JPG,rest,,,,,0,1,1,2,11.445128200000909,,,,,,,,,,,,,,11.438708000001498,11.445128200000909,11.445128200000909,11.445128200000909,11.445128200000909,,,,,,,,,,,,,,
