thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.002984800004924182,0.0065821000025607646,0.0065821000025607646,1.979893700001412,space,1.9651490999967791,None,,,,,,,,,,,,,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
0,0,0,pics/none.JPG,rest,0,0,0,0,0,0,0,2,4.9898901999986265,,,,,,,,,,1.9802902000010363,1.9850741999980528,4.9898901999986265,4.974994600001082,4.984322299998894,4.9898901999986265,4.9898901999986265,4.9898901999986265,6.982573000001139,6.982573000001139,6.982573000001139,6.974967400004971,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
1,1,0,pics/feet.JPG,feet,0,0,0,0,0,1,1,1,6.982573000001139,,,,,,,,,,,,,,6.97510229999898,6.982573000001139,6.982573000001139,6.982573000001139,8.974597799999174,8.974597799999174,8.974597799999174,8.967626400000881,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
2,2,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,2,2,0,8.974597799999174,,,,,,,,,,,,,,8.967769499999122,8.974597799999174,8.974597799999174,8.974597799999174,10.96602939999866,10.96602939999866,10.96602939999866,10.95876500000304,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
3,3,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,3,3,0,10.96602939999866,,,,,,,,,,,,,,10.958941900003992,10.96602939999866,10.96602939999866,10.96602939999866,12.957901499998115,12.957901499998115,12.957901499998115,12.950436700004502,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
4,4,1,pics/feet.JPG,feet,0,0,0,0,1,4,4,1,12.957901499998115,,,,,,,,,,,,,,12.950602199998684,12.957901499998115,12.957901499998115,12.957901499998115,14.950374899999588,14.950374899999588,14.950374899999588,14.942151000002923,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
5,5,1,pics/none.JPG,rest,0,0,0,0,1,5,5,2,14.950374899999588,,,,,,,,,,,,,,14.942337300002691,14.950374899999588,14.950374899999588,14.950374899999588,16.94218980000005,16.94218980000005,16.94218980000005,16.934165400001802,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
6,6,2,pics/feet.JPG,feet,0,0,0,0,2,6,6,1,16.94218980000005,,,,,,,,,,,,,,16.93430310000258,16.94218980000005,16.94218980000005,16.94218980000005,18.933036900001753,18.933036900001753,18.933036900001753,18.925689499999862,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
7,7,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,7,7,0,18.933036900001753,,,,,,,,,,,,,,18.92580689999886,18.933036900001753,18.933036900001753,18.933036900001753,20.92494560000341,20.92494560000341,20.92494560000341,20.91700580000179,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
8,8,2,pics/none.JPG,rest,0,0,0,0,2,8,8,2,20.92494560000341,,,,,,,,,,,,,,20.91713890000392,20.92494560000341,20.92494560000341,20.92494560000341,22.916293200003565,22.916293200003565,22.916293200003565,22.908719899998687,843884,001,2026-06-16_16h02.12.512,bci_racingteam,,2026.1.1,120.2483850586724,2026-06-16 16h02.12.657283 +0200,
