thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.01702830000431277,0.02461260001291521,0.02461260001291521,0.2288418000098318,space,0.19213409998337738,None,,,,,,,,902824,001,2026-06-17_15h54.13.359,bci_circle,,2026.1.1,120.3789529425231,2026-06-17 15h54.13.432847 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,3.235819100023946,,,,,,,,,,0.2290843000228051,0.24177150000468828,3.235819100023946,3.2248388000007253,3.2301738999958616,3.235819100023946,3.235819100023946,,,,,,,,,
