thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,dot_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,dot_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.004544499999610707,0.010347499999625143,0.010347499999625143,6.8168187999981456,space,6.795491799995943,None,,,,,,,,,,,,,,,,,,,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,9.828899399995862,,,,,,,,,,6.817271899999469,6.823850399996445,9.828899399995862,9.80790960000013,9.819191599999613,9.828899399995862,9.828899399995862,9.828899399995862,9.828899399995862,9.828899399995862,9.828899399995862,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,11.8172865000015,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
1,1,1,pics/feet.JPG,feet,0,0,0,0,1,1,1,1,11.824684400002297,,,,,,,,,,,,,,11.817471499998646,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,11.824684400002297,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,13.817490100002033,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
2,2,2,pics/feet.JPG,feet,0,0,0,0,2,2,2,1,13.82459569999628,,,,,,,,,,,,,,13.817796000003,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,13.82459569999628,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,15.808957699999155,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
3,3,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,3,3,0,15.816019999998389,,,,,,,,,,,,,,15.809167100000195,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,15.816019999998389,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,17.800869300001068,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
4,4,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,4,4,0,17.807723600002646,,,,,,,,,,,,,,17.80116409999755,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,17.807723600002646,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,19.792613400000846,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
5,5,3,pics/feet.JPG,feet,0,0,0,0,3,5,5,1,19.79953150000074,,,,,,,,,,,,,,19.792803299998923,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,19.79953150000074,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,21.78508029999648,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
6,6,4,pics/feet.JPG,feet,0,0,0,0,4,6,6,1,21.791960499998822,,,,,,,,,,,,,,21.785361499998544,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,21.791960499998822,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,23.78451109999878,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
7,7,5,pics/feet.JPG,feet,0,0,0,0,5,7,7,1,23.792133599999943,,,,,,,,,,,,,,23.784756599998218,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,23.792133599999943,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,25.784508099997765,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
8,8,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,8,8,0,25.79123029999755,,,,,,,,,,,,,,25.784715800000413,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,25.79123029999755,27.783752000003005,27.783752000003005,27.783752000003005,27.783752000003005,27.783752000003005,27.783752000003005,27.776180799999565,627397,001,2026-06-16_16h37.09.134,bci_racingteam,,2026.1.1,120.36663677537634,2026-06-16 16h37.09.381263 +0200,
