thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0034943999999086373,0.007378499998594634,0.007378499998594634,0.3435366999983671,space,0.3317017000008491,None,,,,,,,,,307361,001,2026-06-16_16h21.52.277,bci_racingteam,,2026.1.1,120.31855540974314,2026-06-16 16h21.52.427721 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,0.3484907999954885,,,,,,,,,,0.34381710000161547,0.3484907999954885,,3.3393643999952474,3.3465968999953475,,,,,,,,,,,,
