thisN,thisTrialN,thisRepN,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,False,0.003096499996900093,0.007408899997244589,0.007408899997244589,1.3347435999967274,space,1.3224461999998312,None,,,,,901190,001,2026-06-16_15h56.38.217,bci_racingteam,,2026.1.1,120.1572137030227,2026-06-16 15h56.38.418467 +0200,
0,0,0,0,0,0,0,1.339276600003359,,,,,,,,,,1.3350292999966769,1.339276600003359,,4.322318500002439,,,,,,,,,
