thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.007536199991591275,0.02065479999873787,0.02065479999873787,2.318265700014308,space,2.2851232000393793,None,,,,,,,,,034184,001,2026-06-19_09h36.22.422,bci_circle,,2026.1.1,116.97014573293423,2026-06-19 09h36.22.512137 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,5.329294099996332,,,,,,,,,,2.3185589999775402,2.323934299987741,5.329294099996332,5.30801869998686,5.32010920002358,5.329294099996332,5.329294099996332,5.329294099996332,,,,,,,,,
