thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,dot_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,dot_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.003638899994257372,0.008518899994669482,0.008518899994669482,0.27390189999277936,space,0.25239679999504006,None,,,,,,,,,,,,,,,,,,,010866,001,2026-06-16_16h28.45.991,bci_racingteam,,2026.1.1,119.38431123604,2026-06-16 16h28.46.227540 +0200,
0,0,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,0,3.291431999998167,,,,,,,,,,0.27447149999352405,0.2808238999932655,3.291431999998167,3.2671381999971345,3.280099599993264,3.291431999998167,3.291431999998167,3.291431999998167,3.291431999998167,3.291431999998167,3.291431999998167,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,5.275341899992782,010866,001,2026-06-16_16h28.45.991,bci_racingteam,,2026.1.1,119.38431123604,2026-06-16 16h28.46.227540 +0200,
1,1,0,pics/none.JPG,rest,,,,,0,1,1,2,5.282748799996625,,,,,,,,,,,,,,5.275582999995095,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,5.282748799996625,,,,,,,,,,,,,,,,
