thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.012235700036399066,0.020680700021330267,0.020680700021330267,0.26674089999869466,space,0.23902219999581575,None,,,,,,,,,,560572,001,2026-06-20_16h51.24.724,bci_circle,,2026.1.1,120.27485205649994,2026-06-20 16h51.24.796188 +0200,
0,0,0,pics/right_hand.JPG, right_hand,0,0,0,0,0,0,0,3,3.2762672000098974,,,,,,,,,,0.2669935000012629,0.27174370002467185,3.2762672000098974,3.2561007000040263,3.262665099988226,3.2762672000098974,3.2762672000098974,3.2762672000098974,9.926724400022067,560572,001,2026-06-20_16h51.24.724,bci_circle,,2026.1.1,120.27485205649994,2026-06-20 16h51.24.796188 +0200,
1,1,1,pics/right_hand.JPG, right_hand,0,0,0,0,1,1,1,3,9.934415600029752,,,,,,,,,,,,,,9.928095100040082,9.934415600029752,9.934415600029752,9.934415600029752,16.585509299999103,560572,001,2026-06-20_16h51.24.724,bci_circle,,2026.1.1,120.27485205649994,2026-06-20 16h51.24.796188 +0200,
2,2,0,pics/none.JPG,rest,,,,,0,2,2,2,16.592853700043634,,,,,,,,,,,,,,16.58675050002057,16.592853700043634,16.592853700043634,16.592853700043634,,,,,,,,,,
