pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,pre_run.started,text_pre_run.started,key_resp_start.started,pre_run.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,image_mi.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,run_break.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.027371500618755817,0.03755060024559498,0.03755060024559498,6.287242900580168,space,6.2336554992944,None,,,,,,,,,,,,,,,,,,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/foot.png,foot,0,0,0,0,0,0,0,0,9.319701400585473,,,,,,,,,6.288840900175273,6.302694600075483,9.294286400079727,9.31024770066142,9.319701400585473,9.319701400585473,11.381734300404787,11.381734300404787,11.311994899995625,11.312040200456977,11.381734300404787,15.887272899970412,15.878453900106251,15.878496300429106,15.887272899970412,18.40246620029211,18.378470200113952,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/hand.png,hand,0,0,0,0,0,1,1,1,18.40246620029211,,,,,,,,,,,,18.37915960047394,18.40246620029211,18.40246620029211,20.44947350025177,20.44947350025177,20.39459710009396,20.394661800004542,20.44947350025177,24.95350700058043,24.945032000541687,24.945077000185847,24.95350700058043,27.453266100026667,27.443983600474894,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/hand.png,hand,0,0,0,0,1,0,2,1,27.453266100026667,,,,,,,,,,,,27.444649500772357,27.453266100026667,27.453266100026667,29.496540300548077,29.496540300548077,29.444012500345707,29.444068199954927,29.496540300548077,34.00357270054519,33.994866200722754,33.99491190072149,34.00357270054519,36.53517150040716,36.51089640054852,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/foot.png,foot,0,0,0,0,1,1,3,0,36.53517150040716,,,,,,,,,,,,36.51159270014614,36.53517150040716,36.53517150040716,38.59646360017359,38.59646360017359,38.52806860022247,38.52811360079795,38.59646360017359,43.10285560041666,43.09398900065571,43.09403520077467,43.10285560041666,45.60334340017289,45.59391950070858,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.59414560068399,45.60334340017289,45.60334340017289,48.7453294005245,space,3.139887899160385,None,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/foot.png,foot,1,0,1,0,0,0,0,0,51.78500320017338,,,,,,,,,48.74698320031166,48.76837730035186,51.76005760021508,51.77474830020219,51.78500320017338,51.78500320017338,53.83761120028794,53.83761120028794,53.77748000063002,53.77752560004592,53.83761120028794,58.351269700564444,58.32785060070455,58.32789480034262,58.351269700564444,60.86803360003978,60.84363930020481,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/foot.png,foot,1,0,1,0,0,1,1,0,60.86803360003978,,,,,,,,,,,,60.84432630054653,60.86803360003978,60.86803360003978,62.93767970055342,62.93767970055342,62.87540729995817,62.875452800653875,62.93767970055342,67.467963100411,67.44495810009539,67.44500680081546,67.467963100411,69.98411620035768,69.96011420059949,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/hand.png,hand,1,0,1,0,1,0,2,1,69.98411620035768,,,,,,,,,,,,69.96088790055364,69.98411620035768,69.98411620035768,72.03402140084654,72.03402140084654,71.97599160019308,71.97603750042617,72.03402140084654,76.5351178003475,76.5259848004207,76.52603530045599,76.5351178003475,79.05287590064108,79.02756290044636,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
pics/hand.png,hand,1,0,1,0,1,1,3,1,79.05287590064108,,,,,,,,,,,,79.02843910083175,79.05287590064108,79.05287590064108,81.11960450001061,81.11960450001061,81.05989910010248,81.05995020084083,81.11960450001061,85.61797880008817,85.60979320015758,85.6098388005048,85.61797880008817,88.11794500052929,88.10923860035837,,,,,,,,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.10946600046009,88.11794500052929,88.11794500052929,175.47409010026604,space,87.34249449986964,None,573332,001,2024-06-07_10h59.42.012,bci_racingteam,2024.1.5,None,2024-06-07 10h59.57.953372 +0200,
,,,,,,,,,,178.5147182000801,,,,,,,,,175.47536560054868,175.4980385005474,178.48964000027627,178.50354990083724,178.5147182000801,178.5147182000801,180.56448660045862,180.56448660045862,180.5070967003703,180.50715960003436,180.56448660045862,,,,,,,,,,,,,,,,,,,,,
