pic_name,class_mi,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,pre_run.started,text_pre_run.started,key_resp_start.started,pre_run.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,cue.started,hor_line_cue.started,ver_line_cue.started,image_cue.started,hor_line_cue.stopped,ver_line_cue.stopped,image_cue.stopped,cue.stopped,MI.started,image_mi.started,image_mi.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,post_run.started,text_post_run.started,key_resp_end.started,post_run.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.019054999575018883,0.03530719969421625,0.03530719969421625,0.48666919954121113,space,0.43453670013695955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/hand.png,hand,0,0,0,1,0.518652799539268,,,,,,,,,0.5023644994944334,0.518652799539268,0.518652799539268,1.068635399453342,1.068635399453342,1.0028617000207305,1.002900400198996,1.068635399453342,1.068635399453342,1.068635399453342,2.10191569942981,2.10191569942981,2.10191569942981,2.0529439002275467,2.052981900051236,2.10191569942981,4.101885600015521,4.086077299900353,4.086115200072527,4.101885600015521,8.101796699687839,8.085983099415898,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/hand.png,hand,0,1,1,1,8.101796699687839,,,,,,,,,8.08674049936235,8.101796699687839,8.101796699687839,8.635068699717522,8.635068699717522,8.586029299534857,8.586065799929202,8.635068699717522,8.635068699717522,8.635068699717522,9.668378899805248,9.668378899805248,9.668378899805248,9.619389900006354,9.61942629981786,9.668378899805248,11.668326299637556,11.652458899654448,11.652496200054884,11.668326299637556,15.668220899999142,15.652357299812138,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/hand.png,hand,1,0,2,1,15.668220899999142,,,,,,,,,15.65312370005995,15.668220899999142,15.668220899999142,16.20152649935335,16.20152649935335,16.152411700226367,16.152446899563074,16.20152649935335,16.20152649935335,16.20152649935335,17.23484619986266,17.23484619986266,17.23484619986266,17.18584239948541,17.18587839975953,17.23484619986266,19.23482109978795,19.21893659979105,19.21897289995104,19.23482109978795,23.2346700001508,23.218820299953222,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/foot.png,foot,1,1,3,0,23.2346700001508,,,,,,,,,23.219568599946797,23.2346700001508,23.2346700001508,23.76805299986154,23.76805299986154,23.71910209953785,23.719139699824154,23.76805299986154,23.76805299986154,23.76805299986154,24.801355499774218,24.801355499774218,24.801355499774218,24.752377099357545,24.75241099949926,24.801355499774218,26.80129999946803,26.78543629962951,26.785473399795592,26.80129999946803,30.801162799820304,30.785271699540317,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/foot.png,foot,2,0,4,0,30.801162799820304,,,,,,,,,30.78602259978652,30.801162799820304,30.801162799820304,31.35122170019895,31.35122170019895,31.28529579937458,31.285331699997187,31.35122170019895,31.35122170019895,31.35122170019895,32.384438400156796,32.384438400156796,32.384438400156796,32.33540110010654,32.33543729968369,32.384438400156796,34.384436699561775,34.36856540013105,34.36860310006887,34.384436699561775,38.38430480007082,38.36849430017173,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/hand.png,hand,2,1,5,1,38.38430480007082,,,,,,,,,38.369241499342024,38.38430480007082,38.38430480007082,38.917617299593985,38.917617299593985,38.8685221998021,38.868557799607515,38.917617299593985,38.917617299593985,38.917617299593985,39.95090200006962,39.95090200006962,39.95090200006962,39.901831899769604,39.90186829958111,39.95090200006962,41.95084400009364,41.93499429989606,41.935031299479306,41.95084400009364,45.950784699991345,45.9349334994331,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/foot.png,foot,3,0,6,0,45.950784699991345,,,,,,,,,45.935686099343,45.950784699991345,45.950784699991345,46.48406280018389,46.48406280018389,46.43496819958091,46.43500469997525,46.48406280018389,46.48406280018389,46.48406280018389,47.51734710019082,47.51734710019082,47.51734710019082,47.46833849977702,47.46837619971484,47.51734710019082,49.51732149999589,49.50152429938316,49.501560599543154,49.51732149999589,53.51720600016415,53.501370199956,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/foot.png,foot,3,1,7,0,53.51720600016415,,,,,,,,,53.50212169997394,53.51720600016415,53.51720600016415,54.05047839973122,54.05047839973122,54.0014015994966,54.00143919978291,54.05047839973122,54.05047839973122,54.05047839973122,55.08382060006261,55.08382060006261,55.08382060006261,55.03476209938526,55.03479909989983,55.08382060006261,57.08377970010042,57.067985699512064,57.06802279967815,57.08377970010042,61.0836864002049,61.067809799686074,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
pics/hand.png,hand,4,0,8,1,61.0836864002049,,,,,,,,,61.068564999848604,61.0836864002049,61.0836864002049,61.616937399841845,61.616937399841845,61.56787319947034,61.56790910009295,61.616937399841845,61.616937399841845,61.616937399841845,62.650375000201166,62.650375000201166,62.650375000201166,62.601212199777365,62.601249099709094,62.650375000201166,64.65031509939581,64.63442979939282,64.63446749933064,64.65031509939581,68.65018079988658,68.63432590011507,,,,,,,,428356,001,2024-06-06_14h25.49.278,bci_racingteam,2023.2.1,60.03600969109067,2024-06-06 14h25.56.434070 +0200,
