pic_name,class_mi,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,pre_run.started,text_pre_run.started,key_resp_start.started,pre_run.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,cue.started,hor_line_cue.started,ver_line_cue.started,image_cue.started,hor_line_cue.stopped,ver_line_cue.stopped,image_cue.stopped,cue.stopped,MI.started,image_mi.started,image_mi.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.029236100614070892,0.06274010054767132,0.06274010054767132,1.580824799835682,space,1.5120815997943282,None,,,,,,,,,,,,,,,,,,,,,,,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/foot.png,foot,0,0,0,0,1.6122224004939198,,,,,,,,,1.5981804998591542,1.6122224004939198,1.6122224004939198,2.69601590000093,2.69601590000093,2.5970931006595492,2.5971387000754476,2.69601590000093,2.69601590000093,2.69601590000093,3.762334200553596,3.762334200553596,3.762334200553596,3.6802137000486255,3.6802540002390742,3.762334200553596,8.76203370001167,8.746378100477159,8.746416999958456,8.76203370001167,12.761976799927652,12.746441099792719,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/hand.png,hand,0,1,1,1,12.761976799927652,,,,,,,,,12.747596399858594,12.761976799927652,12.761976799927652,13.811981100589037,13.811981100589037,13.746775900013745,13.746818999759853,13.811981100589037,13.811981100589037,13.811981100589037,14.861762500368059,14.861762500368059,14.861762500368059,14.796658299863338,14.796695100143552,14.861762500368059,19.86179620027542,19.845959500409663,19.84599780011922,19.86179620027542,23.8616657005623,23.84589620027691,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/hand.png,hand,1,0,2,1,23.8616657005623,,,,,,,,,23.847032699733973,23.8616657005623,23.8616657005623,24.928514800034463,24.928514800034463,24.845937199890614,24.84598120022565,24.928514800034463,24.928514800034463,24.928514800034463,25.99488059990108,25.99488059990108,25.99488059990108,25.912763400003314,25.912810600362718,25.99488059990108,30.99495039973408,30.979241800494492,30.979287300258875,30.99495039973408,34.99473090004176,34.97912310063839,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/foot.png,foot,1,1,3,0,34.99473090004176,,,,,,,,,34.980291600339115,34.99473090004176,34.99473090004176,36.07839110027999,36.07839110027999,35.97907380014658,35.97918760031462,36.07839110027999,36.07839110027999,36.07839110027999,37.144606799818575,37.144606799818575,37.144606799818575,37.06248879991472,37.062534499913454,37.144606799818575,42.14512510038912,42.12877650000155,42.12882130034268,42.14512510038912,46.14429219998419,46.128578499890864,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/hand.png,hand,2,0,4,1,46.14429219998419,,,,,,,,,46.12971640005708,46.14429219998419,46.14429219998419,47.19417200051248,47.19417200051248,47.1288849003613,47.12892139982432,47.19417200051248,47.19417200051248,47.19417200051248,48.24421690031886,48.24421690031886,48.24421690031886,48.17872610036284,48.17876259982586,48.24421690031886,53.24474810063839,53.228656000457704,53.22870150022209,53.24474810063839,57.244068699888885,57.22853740025312,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/hand.png,hand,2,1,5,1,57.244068699888885,,,,,,,,,57.22967190016061,57.244068699888885,57.244068699888885,58.31088270060718,58.31088270060718,58.228440900333226,58.22850080020726,58.31088270060718,58.31088270060718,58.31088270060718,59.360577300190926,59.360577300190926,59.360577300190926,59.29518590029329,59.2952260999009,59.360577300190926,64.3606094000861,64.34481120016426,64.34485669992864,64.3606094000861,68.36041729990393,68.34477510023862,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/foot.png,foot,3,0,6,0,68.36041729990393,,,,,,,,,68.34590649977326,68.36041729990393,68.36041729990393,69.42711830046028,69.42711830046028,69.34530020039529,69.34533530008048,69.42711830046028,69.42711830046028,69.42711830046028,70.47674690000713,70.47674690000713,70.47674690000713,70.41158260032535,70.41162140015513,70.47674690000713,75.4771011006087,75.4614802999422,75.46152549982071,75.4771011006087,79.47679200023413,79.46116869989783,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/foot.png,foot,3,1,7,0,79.47679200023413,,,,,,,,,79.46278240066022,79.47679200023413,79.47679200023413,80.54374140035361,80.54374140035361,80.46143249981105,80.46147629991174,80.54374140035361,80.54374140035361,80.54374140035361,81.61022310052067,81.61022310052067,81.61022310052067,81.52822650037706,81.52828400023282,81.61022310052067,86.61015230044723,86.59459070023149,86.59463459998369,86.61015230044723,90.60983480047435,90.59432450029999,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
pics/hand.png,hand,4,0,8,1,90.60983480047435,,,,,,,,,90.5954862004146,90.60983480047435,90.60983480047435,91.6598445000127,91.6598445000127,91.59431560058147,91.59435820020735,91.6598445000127,91.6598445000127,91.6598445000127,92.7098882002756,92.7098882002756,92.7098882002756,92.6444823006168,92.64452010020614,92.7098882002756,97.70962860062718,97.69390599988401,97.69394330028445,97.70962860062718,101.70973190013319,101.69381059985608,046393,001,2024-06-06_14h47.49.225,bci_racingteam,2023.2.1,59.88285691861291,2024-06-06 14h48.00.098419 +0200,
