pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,pre_run.started,text_pre_run.started,key_resp_start.started,pre_run.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,image_mi.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,run_break.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.025161100551486015,0.034699699841439724,0.034699699841439724,2.007564900442958,space,1.7278305999934673,None,,,,,,,,,,,,,,,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/hand.png,hand,0,0,0,0,0,0,0,1,2.037226799875498,,,,,,,,,2.024520200677216,2.037226799875498,2.037226799875498,2.603804800659418,2.603804800659418,2.5428359005600214,2.5428806003183126,2.603804800659418,4.618427500128746,4.609580400399864,4.609627800062299,4.618427500128746,8.633375899866223,8.610088599845767,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/hand.png,hand,0,0,0,0,0,1,1,1,8.633375899866223,,,,,,,,,8.610861600376666,8.633375899866223,8.633375899866223,9.180132400244474,9.180132400244474,9.12605160009116,9.12610310036689,9.180132400244474,11.184942900203168,11.174542000517249,11.174592300318182,11.184942900203168,15.199835199862719,15.175600999966264,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,0,0,0,0,1,0,2,0,15.199835199862719,,,,,,,,,15.176286300644279,15.199835199862719,15.199835199862719,15.752267400734127,15.752267400734127,15.691899199970067,15.691943200305104,15.752267400734127,17.75165480002761,17.742456399835646,17.74250330030918,17.75165480002761,21.751072499901056,21.741758700460196,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,0,0,0,0,1,1,3,0,21.751072499901056,,,,,,,,,21.742442700080574,21.751072499901056,21.751072499901056,22.301123100332916,22.301123100332916,22.24213630054146,22.242179300636053,22.301123100332916,24.300805000588298,24.292530700564384,24.29258120059967,24.300805000588298,28.30069710034877,28.291636700741947,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.291818300262094,28.30069710034877,28.30069710034877,35.00875060074031,space,6.702093499712646,None,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,1,0,1,0,0,0,0,0,35.0328780002892,,,,,,,,,35.024470100179315,35.0328780002892,35.0328780002892,35.5876231007278,35.5876231007278,35.526781000196934,35.52684640046209,35.5876231007278,37.6009068004787,37.59213380049914,37.59217950049788,37.6009068004787,41.61593860015273,41.59175410028547,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/hand.png,hand,1,0,1,0,0,1,1,1,41.61593860015273,,,,,,,,,41.59247560054064,41.61593860015273,41.61593860015273,42.161358600482345,42.161358600482345,42.10817040037364,42.108216100372374,42.161358600482345,44.16714720055461,44.15825270023197,44.15829910058528,44.16714720055461,48.18272349983454,48.161088400520384,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/hand.png,hand,1,0,1,0,1,0,2,1,48.18272349983454,,,,,,,,,48.161933300085366,48.18272349983454,48.18272349983454,48.72798730060458,48.72798730060458,48.67501290049404,48.675056899897754,48.72798730060458,50.73385180067271,50.72491660062224,50.72496020048857,50.73385180067271,54.73348610009998,54.72424630075693,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,1,0,1,0,1,1,3,0,54.73348610009998,,,,,,,,,54.7248918004334,54.73348610009998,54.73348610009998,55.285675200633705,55.285675200633705,55.22573810070753,55.22579770069569,55.285675200633705,57.299881900660694,57.29100530035794,57.291051000356674,57.299881900660694,61.300006800331175,61.291006000712514,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.29122029989958,61.300006800331175,61.300006800331175,63.82560240011662,space,2.5222569005563855,None,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/hand.png,hand,2,0,2,0,0,0,0,1,63.84867980051786,,,,,,,,,63.84010520018637,63.84867980051786,63.84867980051786,64.39556269999593,64.39556269999593,64.34134360030293,64.34138889983296,64.39556269999593,66.41532700043172,66.39199279993773,66.39205570053309,66.41532700043172,70.43168650008738,70.40930759999901,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,2,0,2,0,0,1,1,0,70.43168650008738,,,,,,,,,70.41002679988742,70.43168650008738,70.43168650008738,70.98318050056696,70.98318050056696,70.92291760072112,70.92296059988439,70.98318050056696,72.99822660069913,72.97463059984148,72.9746766006574,72.99822660069913,77.01479480043054,76.99103409983218,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
pics/foot.png,foot,2,0,2,0,1,0,2,0,77.01479480043054,,,,,,,,,76.99180940072984,77.01479480043054,77.01479480043054,77.57291270047426,77.57291270047426,77.51053190045059,77.5105942003429,77.57291270047426,79.58273470029235,79.57432130072266,79.57438170071691,79.58273470029235,83.59859280008823,83.57339540030807,,,,,,,,315204,001,2024-06-07_10h54.44.626,bci_racingteam,2024.1.5,None,2024-06-07 10h55.02.961873 +0200,
,,,,,,,,,,83.59859280008823,,,,,,,,,83.57407500036061,83.59859280008823,83.59859280008823,84.14784980006516,84.14784980006516,84.09133770037442,84.09138180036098,84.14784980006516,,,,,,,,,,,,,,,,,,,,,
