pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,pre_run.started,text_pre_run.started,key_resp_start.started,pre_run.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,image_mi.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.005889399908483028,0.017209100537002087,0.017209100537002087,52.23363750055432,space,52.21045789960772,None,,,,,,,,,,,,,,,,,,,188642,001,2024-06-11_17h03.52.164,bci_racingteam,2024.1.5,None,2024-06-11 17h03.55.719125 +0200,
pics/hand.png,hand,0,0,0,0,0,0,0,1,55.26748719997704,,,,,,,,,52.23527240008116,52.249057800509036,55.26748719997704,55.232195099815726,55.26089640054852,55.26748719997704,55.26748719997704,57.303470300510526,57.303470300510526,57.26556500047445,57.2655923999846,57.303470300510526,61.815534700639546,61.79964110068977,61.799684800207615,61.815534700639546,64.31678970064968,64.3001586003229,188642,001,2024-06-11_17h03.52.164,bci_racingteam,2024.1.5,None,2024-06-11 17h03.55.719125 +0200,
,,,,,,,,,,64.31678970064968,,,,,,,,,,,,,64.30119260028005,64.31678970064968,64.31678970064968,66.37770800013095,66.37770800013095,66.3161956006661,66.31623820029199,66.37770800013095,,,,,,,,,,,,,,
