pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,image_mi.stopped,polygon.stopped,polygon_2.stopped,polygon_3.stopped,polygon_4.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,run_break.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0758052000310272,0.0951507999561727,0.0951507999561727,1.6829488000366837,space,1.4995231999782845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,0,0,0,0,4.711947800009511,,,,,,,,,1.6843902999535203,1.6916420999914408,4.684100499958731,4.694987499970011,4.711947800009511,4.711947800009511,6.792435899958946,6.792435899958946,6.70115540002007,6.7011916999472305,6.792435899958946,6.792435899958946,6.792435899958946,6.792435899958946,6.792435899958946,11.298798199975863,11.298798199975863,11.298798199975863,11.298798199975863,11.298798199975863,11.286582799977623,11.286608800059184,11.298798199975863,13.813252500025555,13.800955399987288,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,0,1,1,0,13.813252500025555,,,,,,,,,,,,13.801342900027521,13.813252500025555,13.813252500025555,15.828040200052783,15.828040200052783,15.801581699983217,15.80160640005488,15.828040200052783,15.828040200052783,15.828040200052783,15.828040200052783,15.828040200052783,20.329752700054087,20.329752700054087,20.329752700054087,20.329752700054087,20.329752700054087,20.318522099987604,20.318548499955796,20.329752700054087,22.831401800038293,22.817407299997285,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,0,2,2,2,22.831401800038293,,,,,,,,,,,,22.81778879999183,22.831401800038293,22.831401800038293,24.861410700017586,24.861410700017586,24.83401590003632,24.834038999979384,24.861410700017586,24.861410700017586,24.861410700017586,24.861410700017586,24.861410700017586,29.379918699967675,29.379918699967675,29.379918699967675,29.379918699967675,29.379918699967675,29.367647200007923,29.367677800008096,29.379918699967675,31.879786900011823,31.86929359997157,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,0,3,3,0,31.879786900011823,,,,,,,,,,,,31.869806100032292,31.879786900011823,31.879786900011823,33.94657669996377,33.94657669996377,33.86915419995785,33.86918389995117,33.94657669996377,33.94657669996377,33.94657669996377,33.94657669996377,33.94657669996377,38.46467490005307,38.46467490005307,38.46467490005307,38.46467490005307,38.46467490005307,38.45032469998114,38.450356299988925,38.46467490005307,40.9647783000255,40.95385819999501,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,1,0,4,2,40.9647783000255,,,,,,,,,,,,40.954398500034586,40.9647783000255,40.9647783000255,42.97762350004632,42.97762350004632,42.952315200003795,42.952337700058706,42.97762350004632,42.97762350004632,42.97762350004632,42.97762350004632,42.97762350004632,47.48056249995716,47.48056249995716,47.48056249995716,47.48056249995716,47.48056249995716,47.46611449995544,47.46613970003091,47.48056249995716,49.98080649995245,49.96900859999005,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/right_foot.JPG,right_foot,0,0,0,0,1,1,5,3,49.98080649995245,,,,,,,,,,,,49.96941010002047,49.98080649995245,49.98080649995245,52.03284280002117,52.03284280002117,51.992457399959676,51.99249660002533,52.03284280002117,52.03284280002117,52.03284280002117,52.03284280002117,52.03284280002117,56.54720739996992,56.54720739996992,56.54720739996992,56.54720739996992,56.54720739996992,56.53594289999455,56.535969299962744,56.54720739996992,59.04709869995713,59.03570630005561,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/right_foot.JPG,right_foot,0,0,0,0,1,2,6,3,59.04709869995713,,,,,,,,,,,,59.036087900050916,59.04709869995713,59.04709869995713,61.059597500017844,61.059597500017844,61.03699100005906,61.03701460000593,61.059597500017844,61.059597500017844,61.059597500017844,61.059597500017844,61.059597500017844,65.56351100001484,65.56351100001484,65.56351100001484,65.56351100001484,65.56351100001484,65.55222670000512,65.55225059995428,65.56351100001484,68.09361219999846,68.07035679998808,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,1,3,7,0,68.09361219999846,,,,,,,,,,,,68.07094759994652,68.09361219999846,68.09361219999846,70.10971710004378,70.10971710004378,70.08620799996424,70.0862362999469,70.10971710004378,70.10971710004378,70.10971710004378,70.10971710004378,70.10971710004378,74.61439999996219,74.61439999996219,74.61439999996219,74.61439999996219,74.61439999996219,74.59942650003359,74.59946469997521,74.61439999996219,77.13010710000526,77.11785949999467,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,2,0,8,1,77.13010710000526,,,,,,,,,,,,77.11832390003838,77.13010710000526,77.13010710000526,79.14284860005137,79.14284860005137,79.11747559998184,79.11749940004665,79.14284860005137,79.14284860005137,79.14284860005137,79.14284860005137,79.14284860005137,83.64633979997598,83.64633979997598,83.64633979997598,83.64633979997598,83.64633979997598,83.635264200042,83.63529150001705,83.64633979997598,86.1462223000126,86.13393010001164,,,,,,,,,985893,001,2024-10-01_11h07.52.250,online_paradigm,2024.1.5,None,2024-10-01 11h08.00.864851 +0200,
