pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,image_mi.stopped,polygon.stopped,polygon_2.stopped,polygon_3.stopped,polygon_4.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,run_break.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.025437099975533783,0.04026879998855293,0.04026879998855293,5.129922799998894,space,5.087779399938881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,1,8.164939800044522,,,,,,,,,5.131149800028652,5.145314499968663,8.131725699990056,8.149392300052568,8.164939800044522,8.164939800044522,10.183598799980246,10.183598799980246,10.151024500024505,10.151062799966894,10.183598799980246,10.183598799980246,10.183598799980246,10.183598799980246,10.183598799980246,14.6881150000263,14.6881150000263,14.6881150000263,14.6881150000263,14.6881150000263,14.67358449997846,14.673617899999954,14.6881150000263,17.19050809997134,17.174401400028728,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,0,1,1,1,17.19050809997134,,,,,,,,,,,,17.174792899983004,17.19050809997134,17.19050809997134,19.192463999963365,19.192463999963365,19.17645609995816,19.1764806000283,19.192463999963365,19.192463999963365,19.192463999963365,19.192463999963365,19.192463999963365,23.6970734000206,23.6970734000206,23.6970734000206,23.6970734000206,23.6970734000206,23.682096400065348,23.682126700063236,23.6970734000206,26.199483699980192,26.183766799978912,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/right_foot.JPG,right_foot,0,0,0,0,0,2,2,3,26.199483699980192,,,,,,,,,,,,26.184381500002928,26.199483699980192,26.199483699980192,28.218153599998914,28.218153599998914,28.18594049999956,28.185986199998297,28.218153599998914,28.218153599998914,28.218153599998914,28.218153599998914,28.218153599998914,32.73933470004704,32.73933470004704,32.73933470004704,32.73933470004704,32.73933470004704,32.725037800031714,32.725081000011414,32.73933470004704,35.24167989997659,35.225910900044255,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,0,3,3,0,35.24167989997659,,,,,,,,,,,,35.22635829995852,35.24167989997659,35.24167989997659,37.26051960000768,37.26051960000768,37.22792320000008,37.22796290006954,37.26051960000768,37.26051960000768,37.26051960000768,37.26051960000768,37.26051960000768,41.764993499964476,41.764993499964476,41.764993499964476,41.764993499964476,41.764993499964476,41.74960800004192,41.749634800013155,41.764993499964476,44.26737909996882,44.25159470003564,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,1,0,4,0,44.26737909996882,,,,,,,,,,,,44.25232319999486,44.26737909996882,44.26737909996882,46.28605940006673,46.28605940006673,46.254507999983616,46.25456120003946,46.28605940006673,46.28605940006673,46.28605940006673,46.28605940006673,46.28605940006673,50.79056610004045,50.79056610004045,50.79056610004045,50.79056610004045,50.79056610004045,50.77536900003906,50.7753958000103,50.79056610004045,53.293056400027126,53.277417100034654,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/right_foot.JPG,right_foot,0,0,0,0,1,1,5,3,53.293056400027126,,,,,,,,,,,,53.2782510999823,53.293056400027126,53.293056400027126,55.32776140002534,55.32776140002534,55.30619390006177,55.3062202000292,55.32776140002534,55.32776140002534,55.32776140002534,55.32776140002534,55.32776140002534,59.83293939998839,59.83293939998839,59.83293939998839,59.83293939998839,59.83293939998839,59.81782810005825,59.81786429998465,59.83293939998839,62.335440000053495,62.31992779998109,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,1,2,6,0,62.335440000053495,,,,,,,,,,,,62.32059560006019,62.335440000053495,62.335440000053495,64.35383170004934,64.35383170004934,64.32112990005407,64.32116110005882,64.35383170004934,64.35383170004934,64.35383170004934,64.35383170004934,64.35383170004934,68.85844880004879,68.85844880004879,68.85844880004879,68.85844880004879,68.85844880004879,68.84322739997879,68.84325889998581,68.85844880004879,71.36099730001297,71.34501629997976,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_foot.JPG,left_foot,0,0,0,0,1,3,7,0,71.36099730001297,,,,,,,,,,,,71.34543330001179,71.36099730001297,71.36099730001297,73.3797109000152,73.3797109000152,73.34701010002755,73.34704270004295,73.3797109000152,73.3797109000152,73.3797109000152,73.3797109000152,73.3797109000152,77.88409860001411,77.88409860001411,77.88409860001411,77.88409860001411,77.88409860001411,77.86902009998448,77.86904949997552,77.88409860001411,80.38653330004308,80.37050309998449,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,2,0,8,1,80.38653330004308,,,,,,,,,,,,80.37094930000603,80.38653330004308,80.38653330004308,82.40541530004703,82.40541530004703,82.37292950006668,82.37296649999917,82.40541530004703,82.40541530004703,82.40541530004703,82.40541530004703,82.40541530004703,86.90971440006979,86.90971440006979,86.90971440006979,86.90971440006979,86.90971440006979,86.89457540004514,86.89460470003542,86.90971440006979,89.41217490006238,89.39611610001884,,,,,,,,960971,001,2024-10-01_11h46.53.859,online_paradigm,2024.1.5,None,2024-10-01 11h47.00.834469 +0200,
