pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,image_mi.stopped,polygon.stopped,polygon_2.stopped,polygon_3.stopped,polygon_4.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,run_break.started,text.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.028328799991868436,0.06136219995096326,0.06136219995096326,5.889157800003886,space,5.820400599972345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/feet.JPG,feet,0,0,0,0,0,0,0,2,8.92041150003206,,,,,,,,,5.890280100051314,5.900375399971381,8.92041150003206,8.887812900007702,8.898587199975736,8.92041150003206,8.92041150003206,10.9552846000297,10.9552846000297,10.906190800014883,10.906232299981639,10.9552846000297,10.9552846000297,10.9552846000297,10.9552846000297,10.9552846000297,15.459891999955289,15.459891999955289,15.459891999955289,15.459891999955289,15.459891999955289,15.44521369994618,15.445248699979857,15.459891999955289,17.96247999998741,17.946644900017418,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,0,1,1,3,17.96247999998741,,,,,,,,,,,,,17.947337300051004,17.96247999998741,17.96247999998741,19.98111249995418,19.98111249995418,19.948744000052102,19.948785300017335,19.98111249995418,19.98111249995418,19.98111249995418,19.98111249995418,19.98111249995418,24.502290899981745,24.502290899981745,24.502290899981745,24.502290899981745,24.502290899981745,24.488096400047652,24.488143800059333,24.502290899981745,27.004582999972627,26.988833699957468,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/feet.JPG,feet,0,0,0,0,0,2,2,2,27.004582999972627,,,,,,,,,,,,,26.98965570004657,27.004582999972627,27.004582999972627,29.02332319994457,29.02332319994457,28.990920100011863,28.990962199983187,29.02332319994457,29.02332319994457,29.02332319994457,29.02332319994457,29.02332319994457,33.54460739996284,33.54460739996284,33.54460739996284,33.54460739996284,33.54460739996284,33.53051189996768,33.53056210000068,33.54460739996284,36.04699860000983,36.0308596000541,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,0,3,3,0,36.04699860000983,,,,,,,,,,,,,36.031316700042225,36.04699860000983,36.04699860000983,38.06578369997442,38.06578369997442,38.03326189995278,38.03330270003062,38.06578369997442,38.06578369997442,38.06578369997442,38.06578369997442,38.06578369997442,42.57009950000793,42.57009950000793,42.57009950000793,42.57009950000793,42.57009950000793,42.55578940000851,42.5558320999844,42.57009950000793,45.07273590005934,45.05691439996008,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/feet.JPG,feet,0,0,0,0,1,0,4,2,45.07273590005934,,,,,,,,,,,,,45.05767000000924,45.07273590005934,45.07273590005934,47.09137220005505,47.09137220005505,47.058766999980435,47.05880799994338,47.09137220005505,47.09137220005505,47.09137220005505,47.09137220005505,47.09137220005505,51.59579080005642,51.59579080005642,51.59579080005642,51.59579080005642,51.59579080005642,51.58150960004423,51.58156560000498,51.59579080005642,54.09825809998438,54.08233150001615,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,1,1,5,0,54.09825809998438,,,,,,,,,,,,,54.08304359996691,54.09825809998438,54.09825809998438,56.11697670002468,56.11697670002468,56.08504749997519,56.085104599944316,56.11697670002468,56.11697670002468,56.11697670002468,56.11697670002468,56.11697670002468,60.62137079995591,60.62137079995591,60.62137079995591,60.62137079995591,60.62137079995591,60.60734750004485,60.60739460005425,60.62137079995591,63.123958999989554,63.10807509999722,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,1,2,6,0,63.123958999989554,,,,,,,,,,,,,63.108824599999934,63.123958999989554,63.123958999989554,65.14260150003247,65.14260150003247,65.11014590004925,65.11019100004341,65.14260150003247,65.14260150003247,65.14260150003247,65.14260150003247,65.14260150003247,69.64723200001754,69.64723200001754,69.64723200001754,69.64723200001754,69.64723200001754,69.63323120004497,69.63329469994642,69.64723200001754,72.14958980004303,72.13386169995647,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,1,3,7,3,72.14958980004303,,,,,,,,,,,,,72.13457790005486,72.14958980004303,72.14958980004303,74.16825079999398,74.16825079999398,74.13568199996371,74.13572250003926,74.16825079999398,74.16825079999398,74.16825079999398,74.16825079999398,74.16825079999398,78.68949330004398,78.68949330004398,78.68949330004398,78.68949330004398,78.68949330004398,78.67541080003139,78.67546329996549,78.68949330004398,81.19186659995466,81.17574370000511,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
pics/left_hand.JPG,left_hand,0,0,0,0,2,0,8,0,81.19186659995466,,,,,,,,,,,,,81.17616539995652,81.19186659995466,81.19186659995466,83.21057110000402,83.21057110000402,83.17809249996208,83.17813460004982,83.21057110000402,83.21057110000402,83.21057110000402,83.21057110000402,83.21057110000402,87.71498549997341,87.71498549997341,87.71498549997341,87.71498549997341,87.71498549997341,87.70019670005422,87.70024000003468,87.71498549997341,90.21747969998978,90.20193890004884,,,,823131,001,2024-10-01_11h59.13.025,online_paradigm,2024.1.5,None,2024-10-01 11h59.19.649302 +0200,
