pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,pre_cue.stopped,MI.started,image_mi.started,polygon_2.started,polygon_3.started,polygon.started,image_mi.stopped,polygon_2.stopped,polygon_3.stopped,polygon.stopped,MI.stopped,pause.started,text_pause.started,text_pause.stopped,pause.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.027761600002122577,0.038587200000620214,0.038587200000620214,3.431600100000651,space,3.416891700002452,None,,,,,,,,,,,,,,,,,,,,,,,,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,0,0,0,3,6.53857120000248,,,,,,,,,3.432496200002788,3.4550357000007352,6.443406700000196,6.525895600003423,6.53857120000248,6.53857120000248,8.55437190000157,8.55437190000157,8.536087000000407,8.536112400001002,8.55437190000157,8.55437190000157,8.55437190000157,8.55437190000157,13.05535400000008,13.05535400000008,13.05535400000008,13.05535400000008,13.043534900003579,13.043560900001467,13.05535400000008,15.55543150000085,15.544105600001785,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,0,1,1,3,15.55543150000085,,,,,,,,,,,,15.544445700001233,15.55543150000085,15.55543150000085,17.571359200002917,17.571359200002917,17.544625300000916,17.544656300000497,17.571359200002917,17.571359200002917,17.571359200002917,17.571359200002917,22.071783600000344,22.071783600000344,22.071783600000344,22.071783600000344,22.061079600000085,22.06110450000051,22.071783600000344,24.588843200002884,24.57478700000138,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,0,2,2,3,24.588843200002884,,,,,,,,,,,,24.57516840000244,24.588843200002884,24.588843200002884,26.60378480000145,26.60378480000145,26.575745400001324,26.575769400002173,26.60378480000145,26.60378480000145,26.60378480000145,26.60378480000145,31.105319900001632,31.105319900001632,31.105319900001632,31.105319900001632,31.093854900002043,31.0938911000012,31.105319900001632,33.605020400002104,33.59201140000005,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/feet.JPG,feet,0,0,0,0,0,3,3,2,33.605020400002104,,,,,,,,,,,,33.59234820000347,33.605020400002104,33.605020400002104,35.621401800002786,35.621401800002786,35.59261080000215,35.59263280000232,35.621401800002786,35.621401800002786,35.621401800002786,35.621401800002786,40.137138800000685,40.137138800000685,40.137138800000685,40.137138800000685,40.11745730000257,40.117487000003166,40.137138800000685,42.638097100003506,42.62523080000028,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,1,0,4,1,42.638097100003506,,,,,,,,,,,,42.62560020000092,42.638097100003506,42.638097100003506,44.64223430000129,44.64223430000129,44.62592710000172,44.62595220000003,44.64223430000129,44.64223430000129,44.64223430000129,44.64223430000129,49.154346400002396,49.154346400002396,49.154346400002396,49.154346400002396,49.14241350000157,49.14243710000301,49.154346400002396,51.65460280000116,51.64265660000092,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,1,1,5,3,51.65460280000116,,,,,,,,,,,,51.64301120000164,51.65460280000116,51.65460280000116,53.671091900003375,53.671091900003375,53.64278790000026,53.642810300003475,53.671091900003375,53.671091900003375,53.671091900003375,53.671091900003375,58.17120570000043,58.17120570000043,58.17120570000043,58.17120570000043,58.157963200002996,58.15798750000249,58.17120570000043,60.671769000000495,60.65992440000264,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/feet.JPG,feet,0,0,0,0,1,2,6,2,60.671769000000495,,,,,,,,,,,,60.66036830000303,60.671769000000495,60.671769000000495,62.670774100002745,62.670774100002745,62.65788490000341,62.657904300001974,62.670774100002745,62.670774100002745,62.670774100002745,62.670774100002745,67.17060120000315,67.17060120000315,67.17060120000315,67.17060120000315,67.15871400000105,67.15873900000224,67.17060120000315,69.6798619000001,69.65874900000199,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/mental_singing.JPG,mental_singing,0,0,0,0,1,3,7,3,69.6798619000001,,,,,,,,,,,,69.65909220000322,69.6798619000001,69.6798619000001,71.70285490000242,71.70285490000242,71.67537140000059,71.67539830000169,71.70285490000242,71.70285490000242,71.70285490000242,71.70285490000242,76.20437290000336,76.20437290000336,76.20437290000336,76.20437290000336,76.19212060000064,76.19214340000326,76.20437290000336,78.70395290000306,78.69122450000214,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
pics/right_hand.JPG,right_hand,0,0,0,0,2,0,8,1,78.70395290000306,,,,,,,,,,,,78.69159880000007,78.70395290000306,78.70395290000306,80.71887950000018,80.71887950000018,80.69572550000157,80.69574700000157,80.71887950000018,80.71887950000018,80.71887950000018,80.71887950000018,85.22022490000018,85.22022490000018,85.22022490000018,85.22022490000018,85.20931520000158,85.20933940000032,85.22022490000018,87.72016760000042,87.70846390000224,511713,001,2024-10-17_14h35.09.175,online_paradigm,2024.1.2,None,2024-10-17 14h35.14.980505 +0200,
